Image,Article,Colour,Size,Pair,Price,Rate List Price,Thumbnail,OCR JSON
"IMG-20251003-WA0232.jpg","Schoozi","Schoozi-01","7x10","24","","","",""
"IMG-20251003-WA0233.jpg","Schoozi-03","Navy/Red","6x9 7x10","24","","","",""
"IMG-20251003-WA0234.jpg","Schoozi-02","Grey/Black","6x9 7x10","i","","","",""
"IMG-20251003-WA0235.jpg","Alto","Dgry","6/9-7/10","24","","","",""
"IMG-20251003-WA0236.jpg","Schoozi-01","Black/Grey","6x9 7x10","24","","","",""
"IMG-20251003-WA0237.jpg","Poir","T.Blue","6x9 7x10","24","","","",""
"IMG-20251003-WA0238.jpg","Schoozi-03","T.Blue/Red","6x9 7x10","24","","","",""
"IMG-20251003-WA0239.jpg","None","White/T.Blue","6x9 7x10","16","","","",""
"IMG-20251003-WA0240.jpg","Dizire-02","Grey/Black","6x9 7x10","3","","","",""
"IMG-20251003-WA0241.jpg","BAAS","None","6x9 7x10","4","","","",""
"IMG-20251003-WA0242.jpg","Dizire 03","Navy/Orange","6*9 7*10","16","","","",""
"IMG-20251003-WA0243.jpg","Anivals","R.Blue","6x9","24","","","",""
"IMG-20251003-WA0244.jpg","Dizire-O1","t","6x9 7x10","16","","","",""
"IMG-20251003-WA0245.jpg","Artide","Navy","6x9 7x10","3","","","",""
"IMG-20251003-WA0246.jpg","Tpu-03","L.Grey","6x9 7x10","24","","","",""
"IMG-20251003-WA0247.jpg","Leap","0.Grey/Blue","6x9 7x10","5","","","",""
"IMG-20251003-WA0248.jpg","TPU-01","L.Grey","6x9 7x10","24","","","",""
"IMG-20251003-WA0249.jpg","TPU-O1","White/Vellow","6x9 7x10","24","","","",""
"IMG-20251003-WA0250.jpg","TPU-02","White/Blue","6x9 7x10","24","","","",""
"IMG-20251003-WA0251.jpg","TPU-02","Grey/Orange","6x9 7x10","24","","","",""
"IMG-20251003-WA0252.jpg","Tpu-02","Navy","6x9 7x10","24","","","",""
"IMG-20251003-WA0253.jpg","Speed","Wt/Gry/Red","None","36","","","",""
"IMG-20251003-WA0254.jpg","Speed","Wt/Blue/Org","2/5","36","","","",""
"IMG-20251003-WA0255.jpg","Speed","Wt/Gry/Red","2/5","36","","","",""
"IMG-20251003-WA0256.jpg","Speed","Wt/Sky/Org","2/5","36","","","",""
"IMG-20251003-WA0257.jpg","Speed","Wt/Org","2/5","36","","","",""
"IMG-20251003-WA0258.jpg","Speed","Leap","2/5","Leap","","","",""
"IMG-20251003-WA0259.jpg","Speed","Wt/Sky/Blue","2/5","36","","","",""
"IMG-20251003-WA0260.jpg","Speed","Wt/Bk/Grn","None","36","","","",""
"IMG-20251003-WA0261.jpg","Speed","Wt/Navy","2/5","36","","","",""
"IMG-20251003-WA0262.jpg","Racer-02","None","6x9 7x10","24","","","",""
"IMG-20251003-WA0263.jpg","Dgry","Dgry","6/9-7/10","2","","","",""
"IMG-20251003-WA0264.jpg","Gols","None","6x9 7x10","4","","","",""
"IMG-20251003-WA0265.jpg","shai","Black","6x9 7x10","1","","","",""
"IMG-20251003-WA0266.jpg","Ninja 01","L.Gray","6*9 7*10","24","","","",""
"IMG-20251003-WA0267.jpg","Sliver","Lgry/Water","6/9-7/10","24","","","",""
"IMG-20251003-WA0268.jpg","Gaatettc","Navy","6x9 7x10","24","","","",""
"IMG-20251003-WA0269.jpg","Sliver","Lgry/Bk","6/9-7/10","1","","","",""
"IMG-20251003-WA0270.jpg","Hector-02","White/Black","6x9 7x10","24","","","",""
"IMG-20251003-WA0271.jpg","Hector","Black","6/9-7/10","24","","","",""
"IMG-20251003-WA0272.jpg","Hector","Navy","None","P","","","",""
"IMG-20251003-WA0273.jpg","Hector","Lgry","6/9-7/10","0","","","",""
"IMG-20251003-WA0274.jpg","Cosco","Wt/Blue","6/9-7/10","24","","","",""
"IMG-20251003-WA0275.jpg","Audi","Leap","6/9-7/10","Leap","","","",""
"IMG-20251003-WA0276.jpg","Cosco","TihOX","None","TihOX","","","",""
"IMG-20251003-WA0277.jpg","Cosco","Wt/Pista","6/9-7/10","24","","","",""
